action,distance_to_goal,experiment,gamma,loss,orientation,reward,signal1,signal2,signal3,speed,time
4,572.1581949076673,1,0.96,0.24875615537166595,-0.06804356861922542,-0.3,0.0,0.0,0.0,3,1
4,569.1898702863991,1,0.96,0.2520336210727692,-0.04617540870605783,-0.3,0.0,0.0,0.0,3,2
4,566.1985789253542,1,0.96,0.2830970883369446,-0.024195708193839142,-0.3,0.0,0.0,0.0,3,3
4,563.1986446580753,1,0.96,0.2731277942657471,-0.0021015633780388115,-0.3,0.0,0.0,0.0,3,4
10,560.204661447058,1,0.96,0.2387732714414597,0.020109464491370303,-0.3,0.0,0.0,0.0,3,5
4,557.2897092048072,1,0.96,0.281709223985672,0.07577263834535239,-0.3,0.0,0.0,0.0,3,6
-12,554.4326639699109,1,0.96,0.20474134385585785,0.09839891822426368,-0.3,0.0,0.0,0.0,3,7
4,551.4481377744569,1,0.96,0.26977241039276123,0.03225624260571157,-0.3,0.0,0.0,0.0,3,8
4,548.4924898167728,1,0.96,0.25688666105270386,0.05465364575926882,-0.3,0.0,0.0,0.0,3,9
4,545.5807051161314,1,0.96,0.30427438020706177,0.07717333155015113,-0.3,0.0,0.0,0.0,3,10
-12,542.7277884180651,1,0.96,0.26662909984588623,0.09981576395826933,-0.3,0.0,0.0,0.0,3,11
4,539.7446708715737,1,0.96,0.2828075289726257,0.033691844384861884,-0.3,0.0,0.0,0.0,3,12
4,536.7914023117328,1,0.96,0.2850978970527649,0.05610098260406135,-0.3,0.0,0.0,0.0,3,13
-12,533.8829844979662,1,0.96,0.18750309944152832,0.07863511928544906,-0.3,0.0,0.0,0.0,3,14
4,530.8852755484635,1,0.96,0.2769201993942261,0.012405839193836107,-0.3,0.0,0.0,0.0,3,15
4,527.9031827317526,1,0.96,0.2477821111679077,0.034698148303378425,-0.3,0.0,0.0,0.0,3,16
4,524.951623800607,1,0.96,0.2527327835559845,0.05711716498499085,-0.3,0.0,0.0,0.0,3,17
-12,522.0456172658749,1,0.96,0.2764022946357727,0.07966405229639023,-0.3,0.0,0.0,0.0,3,18
4,519.0483106601695,1,0.96,0.2750278413295746,0.01345042097588912,-0.3,0.0,0.0,0.0,3,19
4,516.0673216493842,1,0.96,0.28280335664749146,0.035750360927630294,-0.3,0.0,0.0,0.0,3,20
-12,513.1175835985309,1,0.96,0.2825381457805633,0.05817997033844261,-0.3,0.0,0.0,0.0,3,21
4,510.1185722915934,1,0.96,0.2509689033031464,-0.008148431296156684,-0.3,0.0,0.0,0.0,3,22
4,507.1215014377992,1,0.96,0.2980843484401703,0.014025875352087786,-0.3,0.0,0.0,0.0,3,23
-12,504.14113701102343,1,0.96,0.22965870797634125,0.03633104418851825,-0.3,0.0,0.0,0.0,3,24
4,501.1546378294786,1,0.96,0.2421014904975891,-0.03011989589147792,-0.3,0.0,0.0,0.0,3,25
4,498.1556095718093,1,0.96,0.228126123547554,-0.008077707739557174,-0.3,0.0,0.0,0.0,3,26
4,495.1585684431018,1,0.96,0.20417070388793945,0.014095874013766897,-0.3,0.0,0.0,0.0,3,27
-12,492.1782851201552,1,0.96,0.339745432138443,0.03640347050879093,-0.3,0.0,0.0,0.0,3,28
4,489.19171801043433,1,0.96,0.30197691917419434,-0.03004178754875854,-0.3,0.0,0.0,0.0,3,29
4,486.1926721279457,1,0.96,0.2395128905773163,-0.008003525166223066,-0.3,0.0,0.0,0.0,3,30
-12,483.1956623529642,1,0.96,0.214427649974823,0.014169317361299878,-0.3,0.0,0.0,0.0,3,31
1,480.23648625097223,1,0.96,0.2457921802997589,-0.05240940580967544,-0.3,0.0,0.0,0.0,3,32
1,477.2695851748606,1,0.96,0.27531203627586365,-0.047179770546593315,-0.3,0.0,0.0,0.0,3,33
1,474.2957263972405,1,0.96,0.2655805349349976,-0.04191969087665226,-0.3,0.0,0.0,0.0,3,34
1,471.3156926674871,1,0.96,0.2385069280862808,-0.036628518655813486,-0.3,0.0,0.0,0.0,3,35
1,468.33028253241145,1,0.96,0.2652557492256165,-0.03130559532313566,-0.3,0.0,0.0,0.0,3,36
1,465.3403106601268,1,0.96,0.23767103254795074,-0.025950252022580108,-0.3,0.0,0.0,0.0,3,37
1,462.34660816645925,1,0.96,0.22481562197208405,-0.020561809758831588,-0.3,0.0,0.0,0.0,3,38
1,459.35002294316763,1,0.96,0.2012262046337128,-0.015139579590093275,-0.3,0.024,0.0,0.012,3,39
20,456.3514199871449,1,0.96,0.24592842161655426,-0.009682862860995385,-0.3,0.0384,0.0096,0.0456,3,40
20,453.5032236308709,1,0.96,0.2376924604177475,0.10136460407661267,-0.3,0.048,0.0,0.0736,3,41
20,451.1548248771752,1,0.96,0.2605184614658356,0.21313498377569992,-0.3,0.0384,0.0,0.0768,3,42
20,449.5991223482959,1,0.96,0.3114919364452362,0.32555980724617084,-0.3,0.0096,0.0,0.0576,3,43
20,449.03260054277933,1,0.96,0.3066791296005249,0.4384838489949519,-0.3,0.0,0.0,0.0288,3,44
12,449.5273038621412,1,0.96,0.24473586678504944,0.5516820224043435,-0.3,0.0,0.0,0.0,3,45
-7,450.6441994911245,1,0.96,0.26504939794540405,0.6204450626417063,-0.3,0.0,0.0,0.0,3,46
12,451.43170188687554,1,0.96,0.23352086544036865,0.5835253201880899,-0.3,0.0,0.0,0.0,3,47
-7,452.820240367442,1,0.96,0.2126709520816803,0.6522349278130612,-0.3,0.0,0.0,0.0,3,48
-7,453.8912602005588,1,0.96,0.23620252311229706,0.6152182798562505,-0.3,0.0,0.0,0.0,3,49
