action,distance_to_goal,experiment,gamma,loss,orientation,reward,signal1,signal2,signal3,speed,time
3,327.6736181019156,1,0.96,,0.02016785644053724,-0.3,0.0,0.0,0.0,4,1
3,323.70106205839187,1,0.96,,0.037080552893498125,0.2,0.0,0.0,0.0,4,2
3,319.75963664350843,1,0.96,,0.05420439144633126,0.2,0.0,0.0,0.0,4,3
3,315.86151136737504,1,0.96,,0.07154585048857151,0.2,0.0,0.0,0.0,4,4
3,312.01919216048725,1,0.96,,0.08911094939373107,0.2,0.0,0.0,0.0,4,5
3,308.24549227908363,1,0.96,,0.10690513280785437,0.2,0.0,0.0,0.0,4,6
3,304.5534956967809,1,0.96,,0.12493314294548115,0.2,0.0,0.0,0.0,4,7
3,300.9565121272262,1,0.96,,0.14319888055462673,0.2,0.0,0.0,0.0,4,8
3,297.46802287830195,1,0.96,,0.16170525580414125,0.2,0.0,0.0,0.0,4,9
3,294.10161684517664,1,0.96,,0.18045403105169627,0.2,0.0,0.0,0.0,4,10
3,290.87091611669024,1,0.96,,0.19944565825921426,0.2,0.0,0.0,0.0,4,11
3,287.7894909053086,1,0.96,,0.21867911471277174,0.2,0.0,0.0,0.0,4,12
3,284.8707638204524,1,0.96,,0.2381517416384369,0.2,0.0,0.0,0.0,4,13
3,282.12790388936,1,0.96,,0.25785909122929035,0.2,0.0,0.0,0.0,4,14
3,279.5737111836894,1,0.96,,0.27779478843925404,0.2,0.0,0.0,0.0,4,15
-2,277.22049342119215,1,0.96,,0.2979504145674469,0.2,0.0,0.0,0.0,4,16
3,274.79243184942607,1,0.96,,0.29053764227475026,0.2,0.0,0.0,0.0,4,17
-2,272.57330488537303,1,0.96,,0.3108703325488317,0.2,0.0,0.0,0.0,4,18
-2,270.27891260401367,1,0.96,,0.3036299253381085,0.2,0.0,0.0,0.0,4,19
3,267.91015333102854,1,0.96,,0.29636138169932497,0.2,0.0,0.0,0.0,4,20
-2,265.754622066278,1,0.96,,0.31684079986426483,0.2,0.0,0.0,0.0,4,21
-2,263.5244290055273,1,0.96,,0.30974932203081235,0.2,0.0,0.0,0.0,4,22
-2,261.2204145659071,1,0.96,,0.3026322822966527,0.2,0.0,0.0,0.0,4,23
3,258.8434528121986,1,0.96,,0.29548813843448435,0.2,0.0,0.0,0.0,4,24
-2,256.68072632338857,1,0.96,,0.3160930437599501,0.2,0.0,0.0,0.0,4,25
-2,254.44486407375086,1,0.96,,0.3091373183668881,0.2,0.0,0.0,0.0,4,26
