action,distance_to_goal,experiment,gamma,loss,orientation,reward,signal1,signal2,signal3,speed,time
-8,398.63893437545715,1,0.96,,-0.19199953282134044,-0.3,0.0,0.0,0.0,4,1
7,395.7174629307168,1,0.96,,-0.2382558214122684,0.2,0.0,0.0,0.0,4,2
-8,392.500068234374,1,0.96,,-0.20155662718096454,0.2,0.0,0.0,0.0,4,3
7,389.6633560314203,1,0.96,,-0.2479206238420792,0.2,0.0,0.0,0.0,4,4
-19,386.5208437017623,1,0.96,,-0.2113271099784268,0.2,0.0,0.0,0.0,4,5
-14,384.38078344755615,1,0.96,,-0.31891249270607325,0.2,0.0,0.0,0.0,4,6
-14,383.1573803253617,1,0.96,,-0.3994810143515061,0.2,0.0,0.0,0.0,4,7
-7,382.9322681547818,1,0.96,,-0.4804175451153149,0.2,0.0,0.0,0.0,4,8
-7,383.2371152536069,1,0.96,,-0.5226251773059816,-0.3,0.0,0.0,0.0,4,9
-7,384.066126767359,1,0.96,,-0.5648280653826677,-0.3,0.0,0.0,0.0,4,10
-7,385.4036180769099,1,0.96,,-0.6069636506670353,-0.3,0.0,0.0,0.0,4,11
-7,387.2245103377285,1,0.96,,-0.6489714655904607,-0.3,0.0,0.0,0.0,4,12
-15,389.49510168795285,1,0.96,,-0.6907949380652878,-0.3,0.0,0.0,0.0,4,13
-7,392.56006923077996,1,0.96,,-0.7768273906422791,-0.3,0.0,0.0,0.0,4,14
-7,395.9284725967577,1,0.96,,-0.8178085377229932,-0.3,0.0,0.0,0.0,4,15
-7,399.5430922374736,1,0.96,,-0.8584392168036811,-0.3,0.0,0.0,0.0,4,16
-7,403.3441766966809,1,0.96,,-0.8986990795658084,-0.3,0.0,0.0,0.0,4,17
-7,407.27065501258784,1,0.96,,-0.9385757079965092,-0.3,0.0,0.0,0.0,4,18
-7,411.26125285229597,1,0.96,,-0.9780641374844912,-0.3,0.0,0.0,0.0,4,19
-10,415.2554935125039,1,0.96,,0.9828337903460744,-0.3,0.0,0.0,0.0,4,20
19,419.1530013295968,1,0.96,,0.9274435102989756,-0.3,0.0,0.0,0.0,4,21
-7,423.1308348448508,1,0.96,,-0.966314503551284,-0.3,0.0,0.0,0.0,4,22
19,427.1302387628775,1,0.96,,0.9944787610730308,-0.3,0.0,0.0,0.0,4,23
-7,430.93590633768287,1,0.96,,-0.8999139805267479,-0.3,1.0,1.0,0.0,4,24
6,434.86503855275816,1,0.96,,-0.9397166489718404,-0.3,1.0,1.0,1.0,4,25
-14,438.696802943208,1,0.96,,-0.9069345088408782,-0.3,1.0,1.0,1.0,4,26
-14,442.69271859946684,1,0.96,,-0.9855488128053459,-0.3,1.0,1.0,1.0,4,27
-14,446.6141980507689,1,0.96,,0.9365428789320316,-0.3,1.0,1.0,1.0,4,28
-14,450.2331618330362,1,0.96,,0.8593296838265861,-0.3,1.0,1.0,1.0,4,29
-14,453.34423742655775,1,0.96,,0.7827613798610646,-0.3,1.0,1.0,0.0,4,30
-2,455.77464986201034,1,0.96,,0.7067550074697325,-0.3,1.0,1.0,0.0,4,31
